months,years,complex_subgroup,insecticide_class,percentage_mortality,resistance_class,lulc,rainfall,temperature,humidity,population_density
1,2001,Gambiae Complex,organochlorine,100,,10,0,29.9709655,3317,404
1,2001,Gambiae Complex,pyrethroid,100,,11,0,29.90339963,3542,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.97622138,3327,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.97622138,3327,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,30.00955975,3293,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,30.00955975,3293,404
5,2010,Gambiae Complex,carbamate,100,,14,48.163083,30.10275488,6451,401
7,2009,Gambiae Complex,pyrethroid,100,,10,33.32213375,30.29715375,5493,375
7,2009,Gambiae Complex,organophosphate,100,,10,77.37828325,30.0220205,6171,375
7,2009,Gambiae Complex,organophosphate,100,,10,84.09871375,30.03653363,6288,375
7,2009,Gambiae Complex,organophosphate,100,,10,78.1250025,30.06211863,6213,375
7,2009,Gambiae Complex,carbamate,100,,10,11.014038,30.6835255,4683,375
7,2009,Gambiae Complex,carbamate,100,,10,35.002241,30.30349388,5689,375
7,2009,Gambiae Complex,carbamate,100,,10,77.37828325,30.0220205,6171,375
7,2009,Gambiae Complex,carbamate,100,,10,84.09871375,30.03653363,6288,375
4,2012,Gambiae Complex,organophosphate,100,,14,43.30632775,29.464833,6421,373
